asset_name,present position,return,extreme_ret,vol,CMBS 1.0 AJ,CMBS 2.0 BBB,CMBS 2.0 BB,CMBS 2.0 B,CMBS 2.0 B-Piece Combo,CMBS 2.0 IO,CLO 2.0 B,CLO 2.0 BB,CLO 2.0 BBB,CLO 2.0 Equity,CLO 1.0 BB,CLO 1.0 BBB,CLO 1.0 Equity,cash,!=0,lower_bounds,upper_bounds,BN,cond,BN_hidden,cond_Hidden
CMBS 1.0 AJ,0,0.1077,-0.40,0.023409,1,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden1,"80,20,10,90",Hidden1,"10,90"
CMBS 2.0 BBB,0,0.0635,-0.15,0.015376,,1,0.9,0.9,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden1,"80,20,10,90",Hidden2,"10,90"
CMBS 2.0 BB,0,0.0747,-0.30,0.038416,,,1,0.9,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden1,"80,20,10,90",,
CMBS 2.0 B,0,0.079,-0.40,0.026244,,,,1,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden1,"80,20,10,90",,
CMBS 2.0 B Piece Combo,0,0.1835,-0.50,0.123904,,,,,1,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden1,"80,20,10,90",,
CMBS 2.0 IO,0,0.097,-0.05,0.001024,,,,,,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden1,"80,20,10,90",,
CLO 2.0 B,0,0.199,-0.40,0.051529,,,,,,,1,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden2,"80,20,10,90",,
CLO 2.0 BB,0,0.1035,-0.20,0.006084,,,,,,,,1,0.6,0.6,0.6,0.6,0.6,0,0,0,1,Hidden2,"80,20,10,90",,
CLO 2.0 BBB,0,0.0749,-0.10,0.001156,,,,,,,,,1,0.6,0.6,0.6,0.6,0,0,0,1,Hidden2,"80,20,10,90",,
CLO 2.0 Equity,0,0.2338,-0.50,0.014884,,,,,,,,,,1,0.6,0.6,0.6,0,0,0,1,Hidden2,"80,20,10,90",,
CLO 1.0 BB,0,0.0888,-0.10,0.000361,,,,,,,,,,,1,0.6,0.6,0,0,0,1,Hidden2,"80,20,10,90",,
CLO 1.0 BBB,0,0.0619,-0.05,0.000016,,,,,,,,,,,,1,0.6,0,0,0,1,Hidden2,"80,20,10,90",,
CLO 1.0 Equity,0,0.1221,-0.35,0.005184,,,,,,,,,,,,,1,0,0,0,1,Hidden2,"80,20,10,90",,
cash,0,0.0065,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,"0,100",,
